Join	O  
and	O  
AWS	B-SKILL  
Secrets	I-SKILL  
Manager	I-SKILL  
,	O  
and	O  
expect	O  
familiarity	O  
with	O  
zero-trust	B-SKILL  
security	I-SKILL  
concepts	O  
.	O  
This	O  
role	O  
also	O  
includes	O  
managing	B-SKILL  
infrastructure	I-SKILL  
audits	O  
using	O  
CloudTrail	B-SKILL  
and	O  
Azure	B-SKILL  
Monitor	I-SKILL  
.	O  
Strong	O  
understanding	O  
of	O  
cloud-native	B-SKILL  
design	I-SKILL  
patterns	O  
is	O  
essential	O  
for	O  
architecting	O  
resilient	B-SKILL  
systems	O  
.	O  

We, O
are, O
currently, O
building, O
a, O
cloud, O
platform, O
to, O
streamline, O
deployment, O
of, O
microservices, B-SKILL
using, O
Docker, B-SKILL
and, O
Kubernetes, B-SKILL
. O
Experience, O
with, O
AWS, B-SKILL
Lambda, I-SKILL
, O
EC2, B-SKILL
, O
and, O
S3, B-SKILL
is, O
critical, O
for, O
this, O
role, O
. O
We, O
also, O
utilize, O
Terraform, B-SKILL
for, O
infrastructure, O
as, O
code, B-SKILL
, O
and, O
Jenkins, B-SKILL
for, O
CI/CD, B-SKILL
pipelines, O
. O
Strong, O
understanding, O
of, O
VPC, B-SKILL
, O
IAM, B-SKILL
policies, O
, O
and, O
security, O
best, O
practices, O
is, O
essential, O
. O
Candidates, O
should, O
be, O
comfortable, O
with, O
Linux, B-SKILL
administration, I-SKILL
and, O
have, O
working, O
knowledge, O
of, O
Python, B-SKILL
or, O
Go, B-SKILL
. O
Knowledge, O
of, O
monitoring, O
solutions, O
such, O
as, O
Prometheus, B-SKILL
and, O
Grafana, B-SKILL
is, O
preferred, O
. O
Exposure, O
to, O
multi-cloud, O
environments, O
including, O
Azure, B-SKILL
and, O
GCP, B-SKILL
is, O
a, O
plus, O
. O
Understanding, O
of, O
container, O
orchestration, B-SKILL
, O
logging, O
stacks, O
like, O
ELK, B-SKILL
, O
and, O
service, O
mesh, B-SKILL
technologies, O
is, O
desired, O
. O
Familiarity, O
with, O
serverless, O
architectures, B-SKILL
and, O
cloud-native, B-SKILL
principles, O
is, O
important, O
. O
Experience, O
in, O
setting, O
up, O
CICD, B-SKILL
pipelines, O
using, O
GitHub, B-SKILL
Actions, I-SKILL
or, O
GitLab, B-SKILL
CI, I-SKILL
is, O
beneficial, O
. O
Good, O
communication, O
skills, O
and, O
the, O
ability, O
to, O
collaborate, O
across, O
dev, B-SKILL
and, O
ops, I-SKILL
teams, O
is, O
expected, O
. O

We	O
are	O
actively	O
seeking	O
a	O
talented	O
Cloud	B-SKILL
Engineer	I-SKILL
to	O
help	O
modernize	O
our	O
cloud	B-SKILL
infrastructure	I-SKILL
and	O
optimize	O
our	O
deployment	O
pipelines	O
for	O
scale	O
and	O
performance	O
.	O

The	O
ideal	O
candidate	O
has	O
experience	O
with	O
AWS	B-SKILL
,	O
specifically	O
EC2	B-SKILL
,	O
Lambda	B-SKILL
,	O
and	O
CloudFormation	B-SKILL
for	O
infrastructure	B-SKILL
as	I-SKILL
code	I-SKILL
.	O
You	O
should	O
also	O
be	O
proficient	O
in	O
Terraform	B-SKILL
and	O
have	O
hands-on	O
knowledge	O
of	O
multi-cloud	B-SKILL
strategies	I-SKILL
.	O

Candidates	O
must	O
be	O
comfortable	O
using	O
Docker	B-SKILL
and	O
Kubernetes	B-SKILL
in	O
a	O
production	O
environment	O
,	O
and	O
should	O
have	O
experience	O
building	O
and	O
maintaining	O
CI/CD	B-SKILL
pipelines	I-SKILL
with	O
Jenkins	B-SKILL
and	O
GitLab	B-SKILL
.	O

Other	O
important	O
skills	O
include	O
monitoring	B-SKILL
and	O
observability	B-SKILL
using	O
Prometheus	B-SKILL
,	O
Grafana	B-SKILL
,	O
Datadog	B-SKILL
or	O
New	B-SKILL
Relic I-SKILL
,	O
and	O
strong	O
scripting	B-SKILL
skills	O
in	O
Bash	B-SKILL
or	O
Python	B-SKILL
.	O

Knowledge	O
of	O
zero-trust	B-SKILL
security	I-SKILL
principles	O
,	O
managing	O
cloud	B-SKILL
permissions	I-SKILL
with	O
IAM	B-SKILL
roles	O
,	O
and	O
implementing	O
data	B-SKILL
encryption	I-SKILL
is	O
a	O
plus	O
.	O

You	O
will	O
work	O
closely	O
with	O
cross-functional	O
teams	O
to	O
build	O
secure	O
,	O
scalable	O
solutions	O
that	O
meet	O
our	O
global	O
cloud	B-SKILL
strategy	I-SKILL
.	O

We	O
prefer	O
candidates	O
who	O
are	O
certified	O
in	O
AWS	B-SKILL
Solutions	I-SKILL
Architect	I-SKILL
or	O
Google	B-SKILL
Cloud	I-SKILL
Professional	I-SKILL
Engineer	I-SKILL
.	O

Let's	O
innovate	O
together	O
and	O
take	O
our	O
cloud	B-SKILL
systems	I-SKILL
to	O
the	O
next	O
level	O
!	O

Join	O
our	O
infrastructure	O
team	O
to	O
architect	O
and	O
maintain	O
cloud	O
solutions	O
with	O
a	O
strong	O
emphasis	O
on	O
Amazon	B-SKILL
Web	I-SKILL
Services	I-SKILL
\(AWS\)	O
platform	O
.	O
Ideal	O
candidate	O
should	O
demonstrate	O
hands-on	O
experience	O
in	O
building	O
highly	O
available	O
,	O
secure	O
,	O
and	O
scalable	O
infrastructure	O
using	O
AWS	B-SKILL
services	I-SKILL
such	O
as	O
EC2	B-SKILL
,	O
S3	B-SKILL
,	O
VPC	B-SKILL
,	O
CloudFormation	B-SKILL
,	O
ECS	B-SKILL
,	O
EKS	B-SKILL
,	O
Lambda	B-SKILL
,	O
and	O
IAM	B-SKILL
.	O
Knowledge	O
of	O
AWS	B-SKILL
Well-Architected	I-SKILL
Framework	I-SKILL
and	O
cost	O
optimization	O
strategies	O
is	O
preferred	O
.	O
You	O
should	O
have	O
solid	O
skills	O
in	O
Infrastructure	B-SKILL
as	I-SKILL
Code	I-SKILL
\(IaC\)	O
using	O
Terraform	B-SKILL
or	O
AWS	B-SKILL
CloudFormation	B-SKILL
and	O
be	O
capable	O
of	O
automating	O
deployment	O
pipelines	O
using	O
CI	B-SKILL
/	O
CD	I-SKILL
tools	I-SKILL
like	O
AWS	B-SKILL
CodePipeline	B-SKILL
or	O
Jenkins	B-SKILL
.	O
Familiarity	O
with	O
monitoring	O
and	O
observability	O
tools	O
like	O
CloudWatch	B-SKILL
,	O
Datadog	B-SKILL
,	O
and	O
Prometheus	B-SKILL
will	O
help	O
troubleshoot	O
and	O
optimize	O
system	O
performance	O
.	O
Experience	O
designing	O
multi-account	O
and	O
multi-region	O
AWS	B-SKILL
environments	O
and	O
networking	O
concepts	O
including	O
Route	B-SKILL
53	I-SKILL
,	O
Transit	B-SKILL
Gateway	I-SKILL
,	O
and	O
DirectConnect	B-SKILL
is	O
required	O
.	O
Working	O
knowledge	O
of	O
containerization	O
and	O
orchestration	O
tools	O
like	O
Docker	B-SKILL
and	O
Kubernetes	B-SKILL
is	O
beneficial	O
,	O
as	O
is	O
experience	O
with	O
serverless	B-SKILL
architecture	I-SKILL
and	O
event-driven	B-SKILL
designs	I-SKILL
using	O
SNS	B-SKILL
,	O
SQS	B-SKILL
,	O
and	O
Step	B-SKILL
Functions	I-SKILL
.	O
You	O
must	O
be	O
proficient	O
in	O
managing	O
infrastructure	O
through	O
AWS	B-SKILL
CLI	B-SKILL
,	O
SDKs	B-SKILL
,	O
and	O
Management	B-SKILL
Console	I-SKILL
.	O
Certifications	O
such	O
as	O
AWS	B-SKILL
Solutions	I-SKILL
Architect	I-SKILL
or	O
DevOps	B-SKILL
Engineer	I-SKILL
are	O
considered	O
a	O
plus	O
.	O

We	O
are	O
expanding	O
our	O
cloud	O
engineering	O
capabilities	O
and	O
seeking	O
a	O
Cloud	B-SKILL
Engineer	I-SKILL
with	O
strong	O
expertise	O
in	O
Google	B-SKILL
Cloud	I-SKILL
Platform	I-SKILL
\(GCP\)	O
.	O
This	O
role	O
requires	O
deep	O
understanding	O
of	O
core	O
GCP	B-SKILL
services	I-SKILL
,	O
including	O
Compute	B-SKILL
Engine	I-SKILL
,	O
Cloud	B-SKILL
Storage	I-SKILL
,	O
Cloud	B-SKILL
SQL	I-SKILL
,	O
Cloud	B-SKILL
Functions	I-SKILL
,	O
Pub	B-SKILL
/	I-SKILL
Sub	I-SKILL
,	O
and	O
BigQuery	B-SKILL
.	O
Candidates	O
should	O
be	O
comfortable	O
designing	O
and	O
deploying	O
scalable	O
cloud	O
architectures	O
using	O
Infrastructure	B-SKILL
as	I-SKILL
Code	I-SKILL
tools	O
like	O
Terraform	B-SKILL
,	O
Deployment	B-SKILL
Manager	I-SKILL
,	O
and	O
ConfigConnector	B-SKILL
.	O
Strong	O
proficiency	O
in	O
CI	B-SKILL
/	O
CD	I-SKILL
pipelines	O
on	O
GCP	B-SKILL
using	O
Cloud	B-SKILL
Build	I-SKILL
,	O
Cloud	B-SKILL
Run	I-SKILL
,	O
and	O
Artifact	B-SKILL
Registry	I-SKILL
is	O
essential	O
.	O
Hands-on	O
experience	O
with	O
containerized	O
applications	O
and	O
orchestration	O
using	O
Google	B-SKILL
Kubernetes	I-SKILL
Engine	I-SKILL
\(GKE\)	O
is	O
required	O
.	O
Understanding	O
of	O
IAM	B-SKILL
roles	I-SKILL
,	O
VPC	B-SKILL
networking	I-SKILL
,	O
Cloud	B-SKILL
Armor	I-SKILL
,	O
and	O
Cloud	B-SKILL
Interconnect	I-SKILL
is	O
a	O
must	O
for	O
securing	O
cloud	O
infrastructure	O
.	O
Familiarity	O
with	O
monitoring	O
and	O
logging	O
solutions	O
like	O
Cloud	B-SKILL
Monitoring	I-SKILL
,	O
Cloud	B-SKILL
Logging	I-SKILL
,	O
and	O
Error	B-SKILL
Reporting	I-SKILL
can	O
help	O
you	O
diagnose	O
issues	O
in	O
real-time	O
.	O
The	O
ideal	O
candidate	O
has	O
worked	O
with	O
Dataflow	B-SKILL
,	O
Composer	B-SKILL
,	O
and	O
Cloud	B-SKILL
Dataproc	I-SKILL
for	O
data	O
processing	O
pipelines	O
and	O
automation	O
.	O
Proficiency	O
in	O
Python	B-SKILL
or	O
Go	B-SKILL
is	O
beneficial	O
for	O
building	O
and	O
maintaining	O
GCP-based	O
applications	O
.	O
You	O
will	O
collaborate	O
closely	O
with	O
DevOps	B-SKILL
and	O
SRE	B-SKILL
teams	O
to	O
ensure	O
system	O
resilience	O
and	O
continuous	O
integration	O
.	O
Knowledge	O
of	O
billing	B-SKILL
management	I-SKILL
,	O
quotas	O
,	O
and	O
budgets	B-SKILL
in	O
GCP	B-SKILL
is	O
a	O
plus	O
.	O
Certification	O
as	O
a	O
Google	B-SKILL
Cloud	I-SKILL
Professional	I-SKILL
Cloud	I-SKILL
Architect	I-SKILL
is	O
preferred	O
.	O

As	O
enterprises	O
continue	O
to	O
modernize	O
legacy	O
systems	O
,	O
our	O
team	O
is	O
engaging	O
in	O
critical	O
cloud	O
migration	O
projects	O
,	O
and	O
we	O
are	O
seeking	O
an	O
experienced	O
Cloud	B-SKILL
Engineer	I-SKILL
with	O
hands-on	O
Azure	B-SKILL
expertise	O
.	O
You	O
will	O
be	O
part	O
of	O
a	O
team	O
responsible	O
for	O
designing	O
,	O
deploying	O
,	O
and	O
maintaining	O
robust	O
cloud	O
infrastructure	O
leveraging	O
Microsoft	B-SKILL
Azure	I-SKILL
services	O
.	O
Key	O
services	O
include	O
Azure	B-SKILL
VMs	I-SKILL
,	O
Azure	B-SKILL
App	I-SKILL
Services	I-SKILL
,	O
Azure	B-SKILL
Functions	I-SKILL
,	O
Azure	B-SKILL
SQL	I-SKILL
,	O
and	O
Azure	B-SKILL
Blob	I-SKILL
Storage	I-SKILL
.	O
The	O
ideal	O
candidate	O
has	O
strong	O
experience	O
in	O
Infrastructure	B-SKILL
as	I-SKILL
Code	I-SKILL
\(IaC\)	O
using	O
tools	O
like	O
Azure	B-SKILL
Resource	I-SKILL
Manager	I-SKILL
\(ARM\)	O
templates	O
,	O
Terraform	B-SKILL
,	O
and	O
Bicep	B-SKILL
.	O
CI	B-SKILL
/	I-SKILL
CD	I-SKILL
automation	O
should	O
be	O
implemented	O
via	O
Azure	B-SKILL
Pipelines	I-SKILL
and	O
GitHub	B-SKILL
Actions	I-SKILL
.	O
Applicants	O
must	O
demonstrate	O
a	O
deep	O
understanding	O
of	O
Azure	B-SKILL
VNet	I-SKILL
architecture	O
,	O
NSGs	B-SKILL
,	O
private	O
endpoints	O
,	O
ExpressRoute	B-SKILL
,	O
and	O
Application	B-SKILL
Gateways	I-SKILL
.	O
You	O
should	O
have	O
knowledge	O
of	O
setting	O
up	O
monitoring	O
and	O
alerting	O
through	O
Azure	B-SKILL
Monitor	I-SKILL
,	O
Log	B-SKILL
Analytics	I-SKILL
,	O
and	O
Application	B-SKILL
Insights	I-SKILL
.	O
Working	O
experience	O
with	O
Azure	B-SKILL
Kubernetes	I-SKILL
Service	I-SKILL
\(AKS\)	O
for	O
container	O
orchestration	O
is	O
a	O
big	O
plus	O
.	O
You	O
should	O
also	O
have	O
experience	O
managing	O
access	O
and	O
security	O
using	O
Azure	B-SKILL
Active	I-SKILL
Directory	I-SKILL
,	O
RBAC	B-SKILL
,	O
and	O
Key	B-SKILL
Vault	I-SKILL
.	O
Understanding	O
of	O
cost	B-SKILL
optimization	I-SKILL
,	O
budgeting	O
,	O
and	O
billing	B-SKILL
reports	I-SKILL
within	O
Azure	B-SKILL
Cost	I-SKILL
Management	I-SKILL
is	O
expected	O
.	O
This	O
role	O
involves	O
close	O
collaboration	O
with	O
developers	O
,	O
DevOps	B-SKILL
,	O
and	O
security	O
teams	O
to	O
deliver	O
secure	O
and	O
scalable	O
solutions	O
.	O
Familiarity	O
with	O
PowerShell	B-SKILL
,	O
Azure	B-SKILL
CLI	I-SKILL
,	O
or	O
Python	B-SKILL
for	O
automation	O
is	O
beneficial	O
.	O
Certification	O
such	O
as	O
Microsoft	B-SKILL
Certified	I-SKILL
Azure	I-SKILL
Solutions	I-SKILL
Architect	I-SKILL
Expert	I-SKILL
or	O
Azure	B-SKILL
DevOps	I-SKILL
Engineer	I-SKILL
Expert	I-SKILL
is	O
a	O
plus	O
.	O

We	O
are	O
building	O
a	O
cloud-agnostic	O
infrastructure	O
platform	O
and	O
are	O
seeking	O
a	O
Cloud	B-SKILL
Engineer	I-SKILL
who	O
can	O
architect	O
,	O
deploy	O
,	O
and	O
optimize	O
cloud-native	O
solutions	O
without	O
dependency	O
on	O
a	O
single	O
cloud	O
provider	O
.	O
Candidates	O
must	O
demonstrate	O
expertise	O
in	O
Infrastructure	B-SKILL
as	I-SKILL
Code	I-SKILL
using	O
Terraform	B-SKILL
and	O
Pulumi	B-SKILL
,	O
and	O
have	O
experience	O
automating	O
deployment	O
processes	O
across	O
AWS	B-SKILL
,	O
Azure	B-SKILL
,	O
and	O
GCP	B-SKILL
.	O
Containerization	B-SKILL
skills	O
are	O
a	O
must	O
—	O
including	O
Docker	B-SKILL
,	O
Podman	B-SKILL
,	O
and	O
Kubernetes	B-SKILL
\(K8s\)	O
for	O
orchestration	O
.	O
You	O
should	O
be	O
comfortable	O
with	O
Helm	B-SKILL
charts	O
,	O
Kustomize	B-SKILL
,	O
and	O
container	I-SKILL
security	I-SKILL
best	O
practices	O
.	O
Experience	O
in	O
building	O
cloud-native	O
CI	B-SKILL
/	I-SKILL
CD	I-SKILL
pipelines	O
using	O
GitLab	B-SKILL
CI	I-SKILL
,	O
GitHub	B-SKILL
Actions	I-SKILL
,	O
CircleCI	B-SKILL
,	O
or	O
ArgoCD	B-SKILL
is	O
expected	O
.	O
The	O
role	O
requires	O
solid	O
observability	O
practices	O
with	O
monitoring	O
and	O
alerting	O
via	O
Prometheus	B-SKILL
,	O
Grafana	B-SKILL
,	O
ELK	B-SKILL
Stack	I-SKILL
,	O
and	O
OpenTelemetry	B-SKILL
.	O
You	O
should	O
be	O
proficient	O
with	O
Linux	B-SKILL
systems	O
,	O
Bash	B-SKILL
scripting	I-SKILL
,	O
and	O
infrastructure	O
hardening	O
with	O
SELinux	B-SKILL
and	O
AppArmor	B-SKILL
.	O
A	O
strong	O
grasp	O
of	O
IAM	B-SKILL
,	O
OIDC	B-SKILL
,	O
RBAC	B-SKILL
,	O
and	O
cloud-agnostic	O
security	O
policies	O
is	O
critical	O
.	O
Experience	O
with	O
HashiCorp	B-SKILL
Vault	I-SKILL
,	O
OpenPolicyAgent	B-SKILL
,	O
and	O
Snyk	B-SKILL
is	O
preferred	O
.	O
Familiarity	O
with	O
serverless	B-SKILL
platforms	O
like	O
Knative	B-SKILL
or	O
OpenFaaS	B-SKILL
is	O
a	O
plus	O
.	O
Candidates	O
should	O
have	O
applied	O
cloud-neutral	O
practices	O
for	O
multi-region	O
failover	O
,	O
edge	O
routing	O
via	O
Cloudflare	B-SKILL
or	O
NGINX	B-SKILL
,	O
and	O
resilient	O
microservices	O
design	O
.	O
Proficiency	O
in	O
Python	B-SKILL
,	O
Go	B-SKILL
,	O
or	O
TypeScript	B-SKILL
for	O
tooling	O
and	O
automation	O
is	O
expected	O
.	O
Certifications	O
in	O
Kubernetes	B-SKILL
Administrator	I-SKILL
\(CKA\)	O
or	O
Terraform	B-SKILL
Associate	I-SKILL
will	O
be	O
valued	O
.	O

Join	O  
our	O  
cloud	O  
engineering	O  
team	O  
as	O  
we	O  
modernize	O  
enterprise	O  
platforms	O  
with	O  
multi-cloud	B-SKILL  
strategies	I-SKILL  
and	O  
automation	O  
at	O  
scale	O  
.	O  
You	O  
will	O  
be	O  
instrumental	O  
in	O  
designing	O  
cloud-native	B-SKILL  
architectures	I-SKILL  
,	O  
migrating	O  
legacy	O  
applications	O  
,	O  
and	O  
enabling	O  
self-service	O  
cloud	O  
platforms	O  
via	O  
service	B-SKILL  
catalogs	I-SKILL  
and	O  
internal	O  
developer	O  
portals	O  
.	O  
Hands-on	O  
experience	O  
with	O  
cloud-init	B-SKILL  
,	O  
cloud-config	B-SKILL  
,	O  
and	O  
automated	O  
bootstrapping	O  
for	O  
VMs	O  
is	O  
required	O  
.	O  
We're	O  
seeking	O  
engineers	O  
who	O  
can	O  
work	O  
across	O  
multiple	O  
environments	O  
including	O  
hybrid	B-SKILL  
cloud	I-SKILL  
setups	O  
using	O  
tools	O  
like	O  
Anthos	B-SKILL  
,	O  
Azure	B-SKILL  
Arc	I-SKILL  
,	O  
and	O  
AWS	B-SKILL  
Outposts	I-SKILL  
.	O  
Strong	O  
knowledge	O  
of	O  
SDN	B-SKILL  
concepts	O  
using	O  
tools	O  
like	O  
AWS	B-SKILL  
VPC	I-SKILL  
,	O  
GCP	B-SKILL  
Cloud	I-SKILL  
Interconnect	I-SKILL  
,	O  
Azure	B-SKILL  
Virtual	I-SKILL  
WAN	I-SKILL  
,	O  
and	O  
HybridConnect	B-SKILL  
is	O  
expected	O  
.	O  
You	O  
should	O  
have	O  
expertise	O  
in	O  
cloud-native	B-SKILL  
logging	I-SKILL  
and	O  
tracing	O  
with	O  
Stackdriver	B-SKILL  
,	O  
CloudWatch	B-SKILL  
,	O  
Azure	B-SKILL  
Monitor	I-SKILL  
,	O  
Fluentd	B-SKILL  
,	O  
and	O  
OpenTelemetry	B-SKILL  
.	O  
Cloud	O  
Engineers	O  
in	O  
our	O  
team	O  
are	O  
expected	O  
to	O  
contribute	O  
to	O  
policy-as-code	B-SKILL  
efforts	I-SKILL  
using	O  
OPA	B-SKILL  
,	O  
Terraform	B-SKILL  
Sentinel	I-SKILL  
,	O  
and	O  
Rego	B-SKILL  
.	O  
You	O  
must	O  
be	O  
proficient	O  
in	O  
secrets	B-SKILL  
management	I-SKILL  
with	O  
AWS	B-SKILL  
Secrets	I-SKILL  
Manager	I-SKILL  
,	O  
GCP	B-SKILL  
Secret	I-SKILL  
Manager	I-SKILL  
,	O  
and	O  
HashiCorp	B-SKILL  
Vault	I-SKILL  
.	O  
In-depth	O  
expertise	O  
with	O  
CloudFormation	B-SKILL  
,	O  
ARM	B-SKILL  
Templates	I-SKILL  
,	O  
Deployment	B-SKILL  
Manager	I-SKILL  
,	O  
or	O  
Terraform	B-SKILL  
modules	I-SKILL  
is	O  
a	O  
key	O  
requirement	O  
.	O  
Familiarity	O  
with	O  
cloud-native	B-SKILL  
databases	I-SKILL  
such	O  
as	O  
Amazon	B-SKILL  
Aurora	I-SKILL  
,	O  
CloudSQL	B-SKILL  
,	O  
CosmosDB	B-SKILL  
,	O  
and	O  
Firestore	B-SKILL  
is	O  
a	O  
plus	O  
.	O  
Applicants	O  
should	O  
understand	O  
API	B-SKILL  
gateway	I-SKILL  
integration	O  
via	O  
AWS	B-SKILL  
API	I-SKILL  
Gateway	I-SKILL  
,	O  
Apigee	B-SKILL  
,	O  
or	O  
Kong	B-SKILL  
.	O  
Familiarity	O  
with	O  
container	B-SKILL  
networking	I-SKILL  
,	O  
service	B-SKILL  
meshes	I-SKILL  
like	O  
Istio	B-SKILL  
or	O  
Linkerd	B-SKILL  
,	O  
and	O  
zero-trust	B-SKILL  
networking	I-SKILL  
is	O  
desirable	O  
.	O  
Your	O  
responsibilities	O  
also	O  
include	O  
using	O  
CLI	B-SKILL  
and	O  
SDKs	B-SKILL  
from	O  
AWS	B-SKILL  
,	O  
Azure	B-SKILL  
,	O  
and	O  
GCP	B-SKILL  
to	O  
automate	O  
workflows	O  
and	O  
analyze	O  
resource	O  
usage	O  
.	O  
Languages	O  
such	O  
as	O  
Python	B-SKILL  
,	O  
Go	B-SKILL  
,	O  
and	O  
TypeScript	B-SKILL  
should	O  
be	O  
used	O  
for	O  
cloud	O  
automation	O  
scripts	O  
.	O  
Certifications	O  
like	O  
AWS	B-SKILL  
DevOps	I-SKILL  
Engineer	I-SKILL  
,	O  
Azure	B-SKILL  
Administrator	I-SKILL  
Associate	I-SKILL  
,	O  
GCP	B-SKILL  
Cloud	I-SKILL  
Engineer	I-SKILL  
,	O  
or	O  
CKA	B-SKILL  
are	O  
preferred	O  
.	O
